x,y,theta
3.100000000000001421e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000001510e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000001599e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000001688e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000001776e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000001865e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000001954e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000002043e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000002132e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000001776e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000001421e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000001066e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.599999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.699999999999999289e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.799999999999998934e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.899999999999998579e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999999999999998224e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.099980000666655577e+00,1.999866669333308280e-03,2.000000000000000042e-02
5.199900011332752925e+00,5.998800087996724803e-03,4.000000000000000083e-02
5.299720065326273044e+00,1.199520073594118399e-02,5.999999999999999778e-02
5.399400235956535177e+00,1.998667013285845145e-02,8.000000000000000167e-02
5.498900652484337570e+00,2.997001179754126693e-02,1.000000000000000056e-01
5.598181516069724140e+00,4.194123252643320449e-02,1.200000000000000094e-01
5.697203115690987474e+00,5.589554399085685382e-02,1.400000000000000133e-01
5.795925844028550600e+00,7.182736465228145573e-02,1.600000000000000033e-01
5.894310213307362822e+00,8.973032199486387361e-02,1.799999999999999933e-01
5.992316871091486696e+00,1.095972550743699869e-01,1.999999999999999833e-01
6.089906616024546970e+00,1.314202173824569053e-01,2.199999999999999734e-01
6.187040413509749648e+00,1.551904800251703576e-01,2.399999999999999634e-01
6.283679411323200625e+00,1.808985352143858694e-01,2.599999999999999534e-01
6.379784955154277348e+00,2.085341000707972570e-01,2.799999999999999711e-01
6.475318604066838013e+00,2.380861207369312227e-01,2.999999999999999889e-01
6.570242145875082151e+00,2.695427767985429934e-01,3.200000000000000067e-01
6.664517612427916404e+00,3.028914860126244446e-01,3.400000000000000244e-01
6.758107294795709485e+00,3.381189093401334445e-01,3.600000000000000422e-01
6.850973758353360310e+00,3.752109562814316956e-01,3.800000000000000600e-01
6.943079857753648554e+00,4.141527905122967534e-01,4.000000000000000777e-01
7.034388751784879545e+00,4.549288358182537739e-01,4.200000000000000955e-01
7.124863918106876248e+00,4.975227823248537518e-01,4.400000000000001132e-01
7.214469167859428822e+00,5.419175930214057413e-01,4.600000000000001310e-01
7.303168660137357548e+00,5.880955105755540924e-01,4.800000000000001488e-01
7.390926916326394647e+00,6.360380644359744373e-01,5.000000000000001110e-01
7.477708834294159779e+00,6.857260782203481453e-01,5.200000000000001288e-01
7.563479702430542240e+00,7.371396773856594420e-01,5.400000000000001465e-01
7.648205213531883651e+00,7.902582971777477594e-01,5.600000000000001643e-01
7.731851478523402044e+00,8.450606908569351372e-01,5.800000000000001821e-01
7.814385040014370176e+00,9.015249381964386410e-01,6.000000000000001998e-01
7.895772885680623965e+00,9.596284542501691828e-01,6.200000000000002176e-01
7.975982461469053320e+00,1.019347998386408438e+00,6.400000000000002354e-01
8.054981684618789828e+00,1.080659683583751862e+00,6.600000000000002531e-01
8.132738956493883009e+00,1.143538985985598666e+00,6.800000000000002709e-01
8.209223175222332358e+00,1.207960754709367812e+00,7.000000000000002887e-01
8.284403748136421441e+00,1.273899221906515056e+00,7.200000000000003064e-01
8.358250604009379359e+00,1.341328013069329472e+00,7.400000000000003242e-01
8.430734205083469490e+00,1.410220157580384548e+00,7.600000000000003419e-01
8.501825558884696932e+00,1.480548099500425652e+00,7.800000000000003597e-01
8.571496229819413060e+00,1.552283708590378009e+00,8.000000000000003775e-01
8.639718350548173831e+00,1.625398291563067588e+00,8.200000000000003952e-01
8.706464633132304343e+00,1.699862603560153618e+00,8.400000000000004130e-01
8.771708379948709222e+00,1.775646859849681292e+00,8.600000000000004308e-01
